park_no,address,zip,park_class,park_name
0,2901 S POPLAR AVE,60608,COMMUNITY PARK,McGuane
1,3309 S SHIELDS AVE,60616,COMMUNITY PARK,Armour Sq
2,331 W 45TH ST,60609,COMMUNITY PARK,Fuller
3,1809 W 50TH ST,60609,COMMUNITY PARK,Cornell Sq
4,3045 E 83RD ST,60617,COMMUNITY PARK,Russell Sq
5,1307 W 52ND ST,60609,REGIONAL PARK,Sherman
6,4430 S MARSHFIELD AVE,60609,COMMUNITY PARK,Davis (Nathan) Sq
7,6500 S RACINE AVE,60636,REGIONAL PARK,Ogden
8,513 W 72ND ST,60621,REGIONAL PARK,Hamilton
9,9801 S AVENUE G,60617,CITYWIDE PARK,Calumet
10,5531 S DR MARTIN LUTHER KING J,60637,CITYWIDE PARK,Washington (George)
11,6430 S KENWOOD AVE,60637,UNIMPROVED PARK,Park 326
12,6734 S KEDZIE AVE,60629,CITYWIDE PARK,Marquette
13,8930 S MUSKEGON AVE,60617,REGIONAL PARK,Bessemer
14,200 E 111TH ST,60628,REGIONAL PARK,Palmer
15,2732 N AVERS AVE,60647,COMMUNITY PARK,Kosciuszko
16,7655 S INGLESIDE AVE,60619,REGIONAL PARK,Grand Crossing
17,2400 E 105TH ST,60617,REGIONAL PARK,Trumbull
18,3035 E 130TH ST,60633,REGIONAL PARK,Mann
19,501 E 90TH PL,60619,REGIONAL PARK,Tuley
20,6401 S STONY ISLAND AVE,60637,MAGNET PARK,Jackson (Andrew)
21,2415 W 55TH ST,60629,REGIONAL PARK,Gage
22,2210 W PERSHING RD,60609,REGIONAL PARK,McKinley
23,331 E RANDOLPH ST,60605,MAGNET PARK,Grant
24,1400 W 84TH ST,60620,REGIONAL PARK,Foster
25,425 E MCFETRIDGE DR,60616,MAGNET PARK,Burnham
26,1215 E 83RD ST,60619,REGIONAL PARK,Avalon
27,4350 W 79TH ST,60652,REGIONAL PARK,Rainey
28,1400 S LYNN WHITE DR,60605,MAGNET PARK,Northerly Island
29,4222 W FOSTER AVE,60630,REGIONAL PARK,Gompers
30,1978 W 111TH ST,60643,PASSIVE PARK,Bohn
31,2230 W 108TH PL,60643,COMMUNITY PARK,Crescent
32,11320 S WESTERN AVE,60655,COMMUNITY PARK,Kennedy
33,1447-1453 S HARDING AVE,60623,MINI-PARK,Ninebark
34,5100 N RIDGEWAY AVE,60625,COMMUNITY PARK,Field
35,3315 W CARMEN AVE,60625,PASSIVE PARK,Kiwanis
36,11250 S ADA ST,60643,REGIONAL PARK,Ada
37,10970 S PROSPECT AVE,60643,PASSIVE PARK,Prospect Gardens
38,2234 W 115TH ST,60643,PASSIVE PARK,Almond
39,6700 N AVONDALE AVE,60631,NEIGHBORHOOD PARK,Monument
40,5430 N OLCOTT AVE,60656,REGIONAL PARK,Oriole
41,6566 N AVONDALE AVE,60631,COMMUNITY PARK,Olympia
42,3516 W SCHOOL ST,60618,COMMUNITY PARK,Avondale
43,7046 N HARLEM AVE,60631,COMMUNITY PARK,Brooks (Oscar)
44,6755 N NORTHWEST HWY,60631,NEIGHBORHOOD PARK,Edison
45,10436 S WALLACE ST,60628,COMMUNITY PARK,Fernwood
46,9800 S PARNELL AVE,60628,COMMUNITY PARK,Euclid
47,5073 W BERWYN AVE,60630,MINI-PARK,Forest Glen
48,3312 W THORNDALE AVE,60659,COMMUNITY PARK,Hollywood
49,3546 W ADDISON ST,60618,NEIGHBORHOOD PARK,Athletic Field
50,6156 S DORCHESTER AVE,60637,MINI-PARK,Beehive
51,4600 N LAWNDALE AVE,60625,NEIGHBORHOOD PARK,Jensen
52,3945 N SPRINGFIELD AVE,60618,COMMUNITY PARK,Independence
53,3501 N KILBOURN AVE,60641,COMMUNITY PARK,Kilbourn
54,4143 N KOLMAR AVE,60641,NEIGHBORHOOD PARK,Kolmar
55,4550 W SUNNYSIDE AVE,60630,NEIGHBORHOOD PARK,Mayfair
56,4537 W CARMEN AVE,60630,NEIGHBORHOOD PARK,North Mayfair
57,6312 W ROSEDALE AVE,60646,COMMUNITY PARK,Rosedale
58,5421 N MENARD AVE,60630,NEIGHBORHOOD PARK,Gladstone
59,4626 N MANOR AVE,60625,NEIGHBORHOOD PARK,Ravenswood Manor
60,4822 N LONG AVE,60630,COMMUNITY PARK,Jefferson (Thomas) Mem'l
61,5230 W ARGYLE ST,60630,NEIGHBORHOOD PARK,Roberts Square
62,200 W FULLERTON PKWY,60614,MAGNET PARK,Lincoln
63,4725 N ASHLAND AV,60640,COMMUNITY PARK,Chase
64,1820 W GRANVILLE AVE,60660,NEIGHBORHOOD PARK,Emmerson
65,1255 N ASTOR ST,60610,MINI-PARK,Goudy Sq
66,3035 N HOYNE AVE,60618,COMMUNITY PARK,Hamlin
67,254 E CHICAGO AVE,60611,COMMUNITY PARK,Lake Shore
68,7000 N SACRAMENTO AVE,60645,COMMUNITY PARK,Lerner
