zipcode,population,median_age,household_income
5762,513.0,39.2,58558.0
5763,2715.0,43.9,54968.0
5764,3370.0,41.3,44468.0
5765,1632.0,46.7,56771.0
5766,598.0,45.9,52250.0
5767,1053.0,50.2,46193.0
5769,1192.0,45.2,57500.0
5770,1038.0,49.6,71667.0
5772,656.0,50.0,54271.0
5773,2281.0,47.8,51942.0
5774,1012.0,53.7,49375.0
5775,495.0,42.2,34659.0
5776,630.0,54.7,57981.0
5777,3357.0,46.1,58214.0
5778,721.0,43.9,51029.0
5819,9655.0,45.3,46166.0
5820,544.0,48.8,37386.0
5821,1081.0,53.2,61522.0
5822,1615.0,52.6,36667.0
5824,1190.0,44.2,47188.0
5825,134.0,40.5,62083.0
5826,886.0,42.2,56458.0
5827,357.0,43.5,47500.0
5828,1893.0,50.4,55000.0
5829,1754.0,51.6,39402.0
5830,1515.0,46.6,50948.0
5832,835.0,44.7,59107.0
5833,269.0,44.3,56750.0
5836,1193.0,43.1,54896.0
5837,372.0,50.5,42308.0
5839,705.0,53.2,44659.0
5841,389.0,62.7,63839.0
5842,486.0,42.2,45313.0
5843,2480.0,46.2,41853.0
5845,1170.0,43.8,38611.0
5846,996.0,45.1,35109.0
5847,905.0,40.3,57727.0
5851,6635.0,36.1,40629.0
5853,530.0,58.6,37188.0
5855,7209.0,40.7,41364.0
5857,1988.0,48.5,55568.0
5858,397.0,50.1,48500.0
5859,1911.0,38.7,41786.0
5860,2677.0,39.4,45000.0
5862,352.0,45.5,49286.0
5866,657.0,43.7,44464.0
5867,836.0,44.1,49583.0
5868,351.0,47.1,39327.0
5871,1403.0,44.4,47644.0
5872,824.0,50.3,38594.0
5873,740.0,46.1,56250.0
5874,492.0,45.1,52614.0
5875,559.0,47.0,58611.0
5901,19.0,67.8,45625.0
5902,232.0,54.0,30938.0
5903,990.0,45.5,46071.0
5904,188.0,51.2,20515.0
5905,726.0,57.1,40625.0
5906,1259.0,48.8,40673.0
5907,143.0,54.8,47857.0
6001,18617.0,45.9,122666.0
6002,20687.0,49.4,74107.0
6010,60437.0,41.2,61551.0
6013,9540.0,44.0,117069.0
6016,6732.0,38.6,83300.0
6018,2689.0,42.4,73409.0
6019,10289.0,46.9,87394.0
6021,400.0,41.1,66071.0
6023,1278.0,36.6,89044.0
6024,587.0,55.0,82396.0
6026,5194.0,44.5,89449.0
6027,1456.0,50.9,81563.0
6029,15733.0,42.1,79559.0
6031,1384.0,51.5,85878.0
6032,17623.0,43.8,97803.0
6033,28659.0,44.9,102339.0
6035,7956.0,47.7,99359.0
6037,19251.0,47.2,96550.0
6039,1784.0,50.3,71442.0
6040,35616.0,34.8,61193.0
6042,22457.0,35.6,73054.0
6043,4950.0,46.9,91087.0
6051,30138.0,32.3,30955.0
6052,8231.0,38.4,63317.0
6053,34531.0,34.4,48942.0
6057,6241.0,44.4,96633.0
6058,1535.0,54.3,74946.0
6060,2326.0,41.3,131558.0
6062,17772.0,41.4,61907.0
6063,3124.0,45.0,106957.0
6065,802.0,49.1,95139.0
6066,29206.0,39.5,61190.0
6067,19920.0,43.8,81988.0
6068,1682.0,57.1,71154.0
6069,2444.0,59.0,82500.0
6070,14996.0,46.1,110995.0
6071,11533.0,44.4,94897.0
6073,5975.0,45.6,153519.0
6074,25793.0,43.6,100122.0
6076,12620.0,41.7,66176.0
6078,12370.0,41.4,97434.0
6081,1339.0,40.3,71528.0
6082,44515.0,41.0,71526.0
6084,14985.0,42.3,109157.0
6085,7551.0,42.5,94565.0
6088,4661.0,46.9,67801.0
6089,3514.0,39.2,98594.0
6090,1077.0,49.9,143083.0
6092,4166.0,47.0,139464.0
6093,3248.0,45.4,107963.0
6095,29166.0,42.8,82464.0
6096,12537.0,44.6,66494.0
6098,12666.0,46.3,61113.0
6103,1490.0,33.8,83048.0
6105,19165.0,34.3,31920.0
6106,38010.0,30.2,28529.0
6107,18855.0,44.2,117038.0
6108,25272.0,35.3,46902.0
6109,26396.0,45.0,78371.0
6110,12110.0,39.8,64300.0
6111,30590.0,44.5,80315.0
6112,22891.0,29.4,36145.0
6114,28131.0,30.0,34410.0
6117,16788.0,42.3,118773.0
6118,25605.0,40.8,52729.0
6119,15921.0,37.1,80884.0
6120,14120.0,28.6,24080.0
6226,19667.0,26.6,32849.0
6231,3772.0,44.2,113922.0
6232,3211.0,45.3,100724.0
6234,8304.0,43.1,74327.0
6235,2265.0,45.1,88031.0
6237,5456.0,48.9,92981.0
6238,12446.0,44.0,88967.0
6239,10868.0,41.5,52530.0
6241,6830.0,40.5,70489.0
6242,1374.0,42.7,80469.0
6247,2772.0,46.5,74436.0
6248,5808.0,43.1,108529.0
6249,7259.0,45.0,88125.0
6250,4851.0,39.5,81860.0
6254,1965.0,48.6,93438.0
6255,4619.0,41.0,62398.0
6256,2445.0,41.1,54057.0
6259,4394.0,43.8,87244.0
6260,9382.0,43.0,52449.0
6262,750.0,52.0,57889.0
6263,278.0,29.5,43427.0
6266,355.0,27.0,56420.0
6268,10800.0,22.2,51398.0
6277,3911.0,45.9,76867.0
6278,4405.0,44.2,77619.0
6279,5927.0,37.0,72237.0
6280,3122.0,49.9,62542.0
6281,6827.0,47.5,91582.0
6282,1117.0,48.1,50288.0
6320,27270.0,30.6,35400.0
6330,3261.0,41.5,67083.0
6331,5078.0,43.3,81496.0
6333,6906.0,44.7,112500.0
6334,2538.0,48.1,84138.0
6335,6722.0,43.9,91152.0
6339,8222.0,40.3,80725.0
6340,31467.0,30.9,60649.0
6351,16171.0,38.3,65904.0
6354,6333.0,43.1,60344.0
6355,12310.0,51.1,88533.0
6357,12023.0,48.6,75466.0
6359,5318.0,46.5,72880.0
6360,37153.0,37.0,52275.0
6365,4716.0,45.3,69439.0
6370,7418.0,39.7,90610.0
6371,9668.0,51.6,87904.0
6373,358.0,36.8,38869.0
6374,7601.0,43.9,68205.0
6375,3820.0,44.8,89677.0
6377,2818.0,40.9,71958.0
6378,5350.0,52.2,96100.0
6379,9135.0,43.3,64267.0
6380,2858.0,35.5,43084.0
6382,11844.0,43.4,61044.0
6384,2887.0,41.6,74310.0
6385,15666.0,48.7,75702.0
6387,320.0,27.5,36029.0
6390,303.0,51.0,152652.0
6401,18934.0,39.1,43336.0
6403,6075.0,43.3,84570.0
6405,27901.0,47.3,71678.0
6410,29189.0,45.1,108432.0
6412,4290.0,51.1,76648.0
6413,13055.0,46.2,73804.0
6415,16938.0,41.0,98787.0
6416,14049.0,44.7,83739.0
6417,4552.0,45.2,69861.0
6418,12771.0,39.0,55398.0
6419,6464.0,48.2,103295.0
6420,4259.0,40.6,105000.0
6422,7322.0,45.1,114491.0
6423,5050.0,45.6,79318.0
6424,12824.0,44.7,96146.0
6426,3071.0,60.8,100536.0
6437,22382.0,48.0,102199.0
6438,2656.0,39.0,88432.0
6441,5328.0,47.8,105526.0
6442,2976.0,47.5,76739.0
6443,18247.0,47.5,105673.0
6447,6426.0,44.2,103276.0
6450,35907.0,41.8,58361.0
6451,24434.0,39.9,51926.0
6455,3323.0,49.1,109706.0
6457,46933.0,36.4,63828.0
6460,38233.0,44.5,80776.0
6461,15197.0,43.5,85417.0
6468,19784.0,44.1,113333.0
6469,3132.0,45.0,81615.0
6470,16612.0,45.1,113158.0
6471,7733.0,47.5,84385.0
6472,6760.0,45.9,85929.0
6473,24298.0,45.2,94344.0
6475,10174.0,50.6,75237.0
6477,13941.0,45.4,106475.0
6478,12916.0,44.0,99311.0
601,17800.0,38.6,11507.0
602,39716.0,40.0,15511.0
603,51565.0,40.0,16681.0
606,6320.0,42.4,11648.0
610,27976.0,40.6,17751.0
612,63884.0,40.7,17208.0
616,10321.0,43.9,14490.0
617,24648.0,38.1,15645.0
622,7385.0,45.9,16784.0
623,42711.0,41.2,17134.0
624,23945.0,36.0,16764.0
627,33481.0,39.1,17206.0
631,1689.0,43.8,7948.0
637,24013.0,40.6,14877.0
638,17795.0,39.4,12486.0
641,28925.0,40.8,16181.0
646,38292.0,38.9,27967.0
647,5711.0,45.9,13312.0
650,14569.0,37.7,15807.0
652,3893.0,39.5,19497.0
653,12125.0,38.4,13175.0
656,19996.0,39.2,14828.0
659,41327.0,39.8,18480.0
660,16678.0,44.6,20589.0
662,41986.0,40.0,16291.0
664,15693.0,35.8,15749.0
667,24492.0,43.4,12736.0
669,27063.0,40.3,12552.0
670,9087.0,39.4,13209.0
674,41545.0,40.3,18549.0
676,38488.0,37.5,14149.0
677,14755.0,43.7,17881.0
678,26490.0,39.6,15208.0
680,50628.0,40.4,14575.0
682,32433.0,36.5,15804.0
683,32058.0,42.6,15198.0
685,40102.0,41.7,13840.0
687,32087.0,36.0,17649.0
688,12797.0,40.1,14697.0
690,5328.0,41.1,20668.0
692,36700.0,36.6,18593.0
693,57428.0,39.4,17624.0
694,66.0,70.7,10550.0
698,38502.0,41.4,14734.0
703,27797.0,39.0,15276.0
704,8390.0,32.8,14528.0
705,24387.0,40.0,17893.0
707,11506.0,42.6,18815.0
714,18640.0,37.9,16538.0
715,3692.0,41.2,12229.0
716,29351.0,41.2,18595.0
717,17958.0,35.6,11597.0
718,26460.0,36.4,18906.0
719,30094.0,37.8,19247.0
720,22148.0,36.7,14845.0
723,18135.0,42.7,13975.0
725,83479.0,39.7,20072.0
727,57079.0,38.2,30890.0
728,41245.0,37.1,18099.0
729,52897.0,38.0,20805.0
730,33899.0,40.4,15046.0
731,14988.0,39.8,16171.0
735,12798.0,40.5,20204.0
736,49841.0,40.3,20571.0
738,32409.0,39.9,19809.0
739,37558.0,38.2,21818.0
740,1503.0,37.7,14500.0
741,5042.0,41.0,20363.0
745,53395.0,39.5,23344.0
751,22110.0,38.6,16177.0
754,39218.0,39.5,16927.0
757,22732.0,36.0,15295.0
765,8801.0,43.5,17604.0
766,24489.0,37.1,18670.0
767,35734.0,40.7,16342.0
769,39630.0,38.7,18578.0
771,38132.0,37.6,19982.0
772,21096.0,36.6,15725.0
773,19237.0,39.6,19658.0
775,1493.0,33.2,20221.0
777,40398.0,37.2,19249.0
778,46990.0,37.7,31070.0
780,11597.0,39.2,20985.0
782,18544.0,37.6,12752.0
783,34702.0,37.3,14465.0
784,41993.0,36.9,15383.0
791,50515.0,40.3,19269.0
794,29635.0,34.7,14785.0
795,45852.0,37.1,20459.0
901,6541.0,41.7,16612.0
907,17472.0,47.5,31836.0
909,5563.0,38.4,16219.0
911,7227.0,48.7,29325.0
912,5758.0,42.6,20663.0
913,8333.0,27.1,6989.0
915,28173.0,38.9,13573.0
917,19005.0,45.3,13913.0
918,16400.0,42.0,21030.0
920,17576.0,44.0,25591.0
921,36104.0,37.1,18334.0
923,25745.0,39.8,14631.0
924,54062.0,37.7,18535.0
925,6924.0,31.6,10247.0
926,101337.0,41.4,32583.0
927,14229.0,45.2,32083.0
949,77458.0,38.4,25226.0
952,9078.0,41.1,16577.0
953,72712.0,36.6,29793.0
956,71602.0,39.6,22432.0
957,42155.0,38.8,23886.0
959,48349.0,40.2,28215.0
961,30655.0,42.1,28203.0
962,20509.0,36.6,15782.0
965,7543.0,39.9,15274.0
966,15981.0,44.2,50570.0
968,3293.0,56.6,46047.0
969,43372.0,40.9,53175.0
971,28550.0,42.5,20860.0
976,61084.0,39.3,30027.0
979,15019.0,49.6,35251.0
982,14874.0,43.0,25362.0
983,38533.0,40.4,27612.0
985,33320.0,41.0,24091.0
987,58705.0,37.6,31758.0
1001,17423.0,45.0,56714.0
1002,29970.0,23.2,48923.0
1003,11296.0,19.9,2499.0
1005,5228.0,44.1,70568.0
1007,14888.0,42.5,80502.0
1008,1194.0,48.5,67250.0
